"1","Ville","Annee","longitudebis","latitudebis","Longitude","Latitude","Time"
"165"," Brest","2001","-1.446828836","48.60151661","-4.4833319","48.4000019","4h15"
"166"," Brest","2002","-1.327750284","48.60941915","-4.4833319","48.4000019","4h07"
"167"," Brest","2003","-1.268211008","48.61337042","-4.4833319","48.4000019","4h03"
"168"," Brest","2004","-1.268211008","48.61337042","-4.4833319","48.4000019","4h03"
"169"," Brest","2005","-1.268211008","48.61337042","-4.4833319","48.4000019","4h03"
"170"," Brest","2006","-1.268211008","48.61337042","-4.4833319","48.4000019","4h03"
"171"," Brest","2007","-1.402174378","48.60448006","-4.4833319","48.4000019","4h12"
"172"," Brest","2008","-1.402174378","48.60448006","-4.4833319","48.4000019","4h12"
"173"," Brest","2009","-1.551022565","48.59460189","-4.4833319","48.4000019","4h22"
"174"," Brest","2010","-1.461713654","48.60052879","-4.4833319","48.4000019","4h16"
"175"," Brest","2011","-1.357519919","48.60744351","-4.4833319","48.4000019","4h09"
"176"," Brest","2012","-1.357519919","48.60744351","-4.4833319","48.4000019","4h09"
"177"," Brest","2013","-1.38728956","48.60546788","-4.4833319","48.4000019","4h11"
"178"," Brest","2014","-1.38728956","48.60546788","-4.4833319","48.4000019","4h11"
"179"," Brest","2015","-1.327750284","48.60941915","-4.4833319","48.4000019","4h07"
"180"," Brest","2016","-1.327750284","48.60941915","-4.4833319","48.4000019","4h07"
"181"," Brest","2017","-0.702587888","48.65090747","-4.4833319","48.4000019","3h25"
"182"," Caen","1958","-0.3591201","49.1858501","-0.3591201","49.1858501","2h24"
"183"," Caen","1959","-0.3591201","49.1858501","-0.3591201","49.1858501","2h24"
"184"," Caen","1960","-0.3591201","49.1858501","-0.3591201","49.1858501","2h24"
"185"," Caen","1961","-0.3591201","49.1858501","-0.3591201","49.1858501","2h24"
"186"," Caen","1962","-0.3591201","49.1858501","-0.3591201","49.1858501","2h24"
"187"," Caen","1963","-0.3591201","49.1858501","-0.3591201","49.1858501","2h24"
"188"," Caen","1964","-0.434340103","49.19508455","-0.3591201","49.1858501","2h28"
"189"," Caen","1965","-0.434340103","49.19508455","-0.3591201","49.1858501","2h28"
"190"," Caen","1966","-0.321510098","49.18123288","-0.3591201","49.1858501","2h22"
"191"," Caen","1967","-0.321510098","49.18123288","-0.3591201","49.1858501","2h22"
"192"," Caen","1968","-0.246290095","49.17199843","-0.3591201","49.1858501","2h18"
"193"," Caen","1969","-0.246290095","49.17199843","-0.3591201","49.1858501","2h18"
"194"," Caen","1970","0.092199918","49.13044342","-0.3591201","49.1858501","2h"
"195"," Caen","1971","0.299054926","49.10504869","-0.3591201","49.1858501","1h49"
"196"," Caen","1972","0.317859925","49.10274008","-0.3591201","49.1858501","1h48"
"197"," Caen","1973","0.317859925","49.10274008","-0.3591201","49.1858501","1h48"
"198"," Caen","1974","0.317859925","49.10274008","-0.3591201","49.1858501","1h48"
"199"," Caen","1975","0.317859925","49.10274008","-0.3591201","49.1858501","1h48"
"200"," Caen","1976","0.317859925","49.10274008","-0.3591201","49.1858501","1h48"
"201"," Caen","1977","0.299054926","49.10504869","-0.3591201","49.1858501","1h49"
"202"," Caen","1978","0.129809919","49.12582619","-0.3591201","49.1858501","1h58"
"203"," Caen","1979","0.18622492","49.11890036","-0.3591201","49.1858501","1h55"
"204"," Caen","1980","0.280249923","49.1073573","-0.3591201","49.1858501","1h50"
"205"," Caen","1981","0.280249923","49.1073573","-0.3591201","49.1858501","1h50"
"206"," Caen","1982","0.242639922","49.11197452","-0.3591201","49.1858501","1h52"
"207"," Caen","1983","0.223834922","49.11428313","-0.3591201","49.1858501","1h53"
"208"," Caen","1984","0.223834922","49.11428313","-0.3591201","49.1858501","1h53"
"209"," Caen","1985","0.242639922","49.11197452","-0.3591201","49.1858501","1h52"
"210"," Caen","1986","0.242639922","49.11197452","-0.3591201","49.1858501","1h53"
"211"," Caen","1987","0.242639922","49.11197452","-0.3591201","49.1858501","1h54"
"212"," Caen","1988","0.242639922","49.11197452","-0.3591201","49.1858501","1h55"
"213"," Caen","1989","0.016979914","49.13967786","-0.3591201","49.1858501","2h04"
"214"," Caen","1990","-0.001825088","49.14198648","-0.3591201","49.1858501","2h05"
"215"," Caen","1991","-0.001825088","49.14198648","-0.3591201","49.1858501","2h05"
"216"," Caen","1992","-0.020630088","49.14429509","-0.3591201","49.1858501","2h06"
"217"," Caen","1993","-0.020630088","49.14429509","-0.3591201","49.1858501","2h06"
"218"," Caen","1994","-0.039435087","49.1466037","-0.3591201","49.1858501","2h07"
"219"," Caen","1995","-0.058240089","49.14891231","-0.3591201","49.1858501","2h08"
"220"," Caen","1996","0.393079928","49.09350563","-0.3591201","49.1858501","1h44"
"221"," Caen","1997","0.393079928","49.09350563","-0.3591201","49.1858501","1h44"
"222"," Caen","1998","0.374274926","49.09581424","-0.3591201","49.1858501","1h45"
"223"," Caen","1999","0.393079928","49.09350563","-0.3591201","49.1858501","1h44"
"224"," Caen","2000","0.355469927","49.09812285","-0.3591201","49.1858501","1h46"
"225"," Caen","2001","0.242639922","49.11197452","-0.3591201","49.1858501","1h52"
"226"," Caen","2002","0.393079928","49.09350563","-0.3591201","49.1858501","1h44"
"227"," Caen","2003","0.393079928","49.09350563","-0.3591201","49.1858501","1h44"
"228"," Caen","2004","0.393079928","49.09350563","-0.3591201","49.1858501","1h44"
"229"," Caen","2005","0.374274926","49.09581424","-0.3591201","49.1858501","1h45"
"230"," Caen","2006","0.374274926","49.09581424","-0.3591201","49.1858501","1h45"
"231"," Caen","2007","0.393079928","49.09350563","-0.3591201","49.1858501","1h44"
"232"," Caen","2008","0.336664924","49.10043146","-0.3591201","49.1858501","1h47"
"233"," Caen","2009","0.336664924","49.10043146","-0.3591201","49.1858501","1h47"
"234"," Caen","2010","0.336664924","49.10043146","-0.3591201","49.1858501","1h47"
"235"," Caen","2011","0.336664924","49.10043146","-0.3591201","49.1858501","1h47"
"236"," Caen","2012","0.20502992","49.11659175","-0.3591201","49.1858501","1h54"
"237"," Caen","2013","0.317859925","49.10274008","-0.3591201","49.1858501","1h48"
"238"," Caen","2014","0.317859925","49.10274008","-0.3591201","49.1858501","1h48"
"239"," Caen","2015","0.299054926","49.10504869","-0.3591201","49.1858501","1h49"
"240"," Caen","2016","0.280249923","49.1073573","-0.3591201","49.1858501","1h50"
"241"," Caen","2017","0.280249923","49.1073573","-0.3591201","49.1858501","1h50"
"242"," Clermont-Ferrand","1958","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"243"," Clermont-Ferrand","1959","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"244"," Clermont-Ferrand","1960","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"245"," Clermont-Ferrand","1961","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"246"," Clermont-Ferrand","1962","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"247"," Clermont-Ferrand","1963","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"248"," Clermont-Ferrand","1964","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"249"," Clermont-Ferrand","1965","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"250"," Clermont-Ferrand","1966","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"251"," Clermont-Ferrand","1967","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"252"," Clermont-Ferrand","1968","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"253"," Clermont-Ferrand","1969","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"254"," Clermont-Ferrand","1970","3.0862802","45.7796602","3.0862802","45.7796602","4h"
"255"," Clermont-Ferrand","1971","3.077061698","45.81808207","3.0862802","45.7796602","3h57"
"256"," Clermont-Ferrand","1972","3.067843195","45.85650395","3.0862802","45.7796602","3h54"
"257"," Clermont-Ferrand","1973","3.077061698","45.81808207","3.0862802","45.7796602","3h57"
"258"," Clermont-Ferrand","1974","3.080134532","45.80527478","3.0862802","45.7796602","3h58"
"259"," Clermont-Ferrand","1975","3.098571537","45.72843104","3.0862802","45.7796602","4h04"
"260"," Clermont-Ferrand","1976","3.107790039","45.69000916","3.0862802","45.7796602","4h07"
"261"," Clermont-Ferrand","1977","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"262"," Clermont-Ferrand","1978","3.058624693","45.89492582","3.0862802","45.7796602","3h51"
"263"," Clermont-Ferrand","1979","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"264"," Clermont-Ferrand","1980","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"265"," Clermont-Ferrand","1981","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"266"," Clermont-Ferrand","1982","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"267"," Clermont-Ferrand","1983","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"268"," Clermont-Ferrand","1984","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"269"," Clermont-Ferrand","1985","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"270"," Clermont-Ferrand","1986","3.073988863","45.83088936","3.0862802","45.7796602","3h56"
"271"," Clermont-Ferrand","1987","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"272"," Clermont-Ferrand","1988","3.052479024","45.9205404","3.0862802","45.7796602","3h49"
"273"," Clermont-Ferrand","1989","3.040187688","45.97176956","3.0862802","45.7796602","3h45"
"274"," Clermont-Ferrand","1990","2.984876673","46.2023008","3.0862802","45.7796602","3h27"
"275"," Clermont-Ferrand","1991","2.984876673","46.2023008","3.0862802","45.7796602","3h27"
"276"," Clermont-Ferrand","1992","2.966439668","46.27914454","3.0862802","45.7796602","3h21"
"277"," Clermont-Ferrand","1993","2.966439668","46.27914454","3.0862802","45.7796602","3h21"
"278"," Clermont-Ferrand","1994","2.966439668","46.27914454","3.0862802","45.7796602","3h21"
"279"," Clermont-Ferrand","1995","2.972585336","46.25352996","3.0862802","45.7796602","3h23"
"280"," Clermont-Ferrand","1996","2.972585336","46.25352996","3.0862802","45.7796602","3h23"
"281"," Clermont-Ferrand","1997","2.972585336","46.25352996","3.0862802","45.7796602","3h23"
"282"," Clermont-Ferrand","1998","2.978731004","46.22791538","3.0862802","45.7796602","3h25"
"283"," Clermont-Ferrand","1999","2.932638492","46.42002474","3.0862802","45.7796602","3h10"
"284"," Clermont-Ferrand","2000","2.972585336","46.25352996","3.0862802","45.7796602","3h23"
"285"," Clermont-Ferrand","2001","2.93878416","46.39441016","3.0862802","45.7796602","3h12"
"286"," Clermont-Ferrand","2002","2.929565658","46.43283203","3.0862802","45.7796602","3h09"
"287"," Clermont-Ferrand","2003","2.929565658","46.43283203","3.0862802","45.7796602","3h09"
