ï»¿Ville;Annee;Longitude;Latitude;Time
 Brest;1958;-4.4833319;48.4000019;7h37
 Brest;1959;-4.4833319;48.4000019;7h37
 Brest;1960;-4.4833319;48.4000019;7h39
 Brest;1961;-4.30471416993464;48.4118558039216;7h39
 Brest;1962;-4.30471416993464;48.4118558039216;7h39
 Brest;1963;-4.30471416993464;48.4118558039216;7h27
 Brest;1964;-4.30471426732026;48.4118559013072;7h27
 Brest;1965;-4.28982954509804;48.4128438152505;7h26
 Brest;1966;-2.93531103812636;48.5027351993464;5h55
 Brest;1967;-2.93531111546841;48.5027352766884;5h55
 Brest;1968;-2.80134781045752;48.5116256971678;5h46
 Brest;1969;-2.71203896296296;48.5175526666667;5h40
 Brest;1970;-2.65249975424837;48.5215040026144;5h36
 Brest;1971;-2.51853643921569;48.5303944130719;5h27
 Brest;1972;-2.51853651045752;48.5303944843137;5h27
 Brest;1973;-2.51853658169935;48.5303945555556;5h27
 Brest;1974;-2.48876700980392;48.5323702559913;5h25
 Brest;1975;-2.48876708061002;48.5323703267974;5h25
 Brest;1976;-2.56319126143791;48.5274313267974;5h30
 Brest;1977;-2.56319133333333;48.5274313986928;5h30
 Brest;1978;-2.56319140522876;48.5274314705882;5h30
 Brest;1979;-2.53342183180828;48.5294071694989;5h28
 Brest;1980;-2.56319154901961;48.5274316143791;5h30
 Brest;1981;-2.62273091328976;48.5234804339869;5h34
 Brest;1982;-2.69715510261438;48.5185414424837;5h39
 Brest;1983;-2.69715517647059;48.5185415163399;5h39
 Brest;1984;-2.71204007407407;48.5175537777778;5h40
 Brest;1985;-2.69715532418301;48.5185416640523;5h39
 Brest;1986;-2.6673857496732;48.5205173618736;5h37
 Brest;1987;-2.6078465254902;48.5244686823529;5h33
 Brest;1988;-2.60784659803922;48.524468754902;5h33
 Brest;1989;-1.25332761045752;48.6143596583878;4h02
 Brest;1990;-1.20867318801743;48.6173231444444;3h59
 Brest;1991;-1.19378841481481;48.6183110074074;3h58
