Ville,Annee,Longitude,Latitude
 LILLE,1958,3.182360533,50.94330876
 LILLE,1959,3.151487921,50.8659051
 LILLE,1960,3.151487921,50.8659051
 LILLE,1961,3.151487921,50.8659051
 LILLE,1962,3.151487921,50.8659051
 LILLE,1963,3.151487921,50.8659051
 LILLE,1964,3.120615308,50.78850145
 LILLE,1965,3.120615308,50.78850145
 LILLE,1966,3.120615308,50.78850145
 LILLE,1967,3.089742696,50.71109779
 LILLE,1968,3.058870084,50.63369413
 LILLE,1969,3.058870084,50.63369413
 LILLE,1970,3.058870084,50.63369413
 LILLE,1971,3.058870084,50.63369413
 LILLE,1972,3.058870084,50.63369413
 LILLE,1973,3.058870084,50.63369413
 LILLE,1974,3.058870084,50.63369413
 LILLE,1975,3.065044606,50.64917486
 LILLE,1976,3.083568173,50.69561706
 LILLE,1977,3.083568173,50.69561706
 LILLE,1978,3.040346516,50.58725194
 LILLE,1979,3.040346516,50.58725194
 LILLE,1980,3.052695561,50.6182134
 LILLE,1981,3.077393651,50.68013633
 LILLE,1982,3.083568173,50.69561706
 LILLE,1983,3.083568173,50.69561706
 LILLE,1984,3.089742696,50.71109779
 LILLE,1985,3.089742696,50.71109779
 LILLE,1986,3.083568173,50.69561706
 LILLE,1987,3.083568173,50.69561706
 LILLE,1988,3.083568173,50.69561706
 LILLE,1989,3.095917218,50.72657852
 LILLE,1990,3.114440786,50.77302072
 LILLE,1991,3.145313398,50.85042437
 LILLE,1992,3.145313398,50.85042437
 LILLE,1993,2.719271348,49.78225389
 LILLE,1994,2.719271348,49.78225389
 LILLE,1995,2.713096826,49.76677316
 LILLE,1996,2.706922303,49.75129243
 LILLE,1997,2.706922303,49.75129243
 LILLE,1998,2.706922303,49.75129243
 LILLE,1999,2.706922303,49.75129243
 LILLE,2000,2.706922303,49.75129243
 LILLE,2001,2.706922303,49.75129243
 LILLE,2002,2.713096826,49.76677316
 LILLE,2003,2.713096826,49.76677316
 LILLE,2004,2.713096826,49.76677316
 LILLE,2005,2.713096826,49.76677316
 LILLE,2006,2.706922303,49.75129243
 LILLE,2007,2.706922303,49.75129243
 LILLE,2008,2.706922303,49.75129243
 LILLE,2009,2.706922303,49.75129243
 LILLE,2010,2.706922303,49.75129243
 LILLE,2011,2.713096826,49.76677316
 LILLE,2012,2.713096826,49.76677316
 LILLE,2013,2.713096826,49.76677316
 LILLE,2014,2.713096826,49.76677316
 LILLE,2015,2.713096826,49.76677316
 LILLE,2016,2.713096826,49.76677316
 LILLE,2017,2.72544587,49.79773463
 LYON,1958,4.856110498,45.73677815
 LYON,1959,4.856110498,45.73677815
 LYON,1960,4.856110498,45.73677815
 LYON,1961,4.856110498,45.73677815
 LYON,1962,4.856110498,45.73677815
 LYON,1963,4.856110498,45.73677815
 LYON,1964,4.856110498,45.73677815
 LYON,1965,4.856110498,45.73677815
 LYON,1966,4.856110498,45.73677815
 LYON,1967,4.856110498,45.73677815
 LYON,1968,4.856110498,45.73677815
 LYON,1969,4.793427735,45.81469395
 LYON,1970,4.688956465,45.94455361
 LYON,1971,4.678509337,45.95753958
 LYON,1972,4.688956465,45.94455361
 LYON,1973,4.709850719,45.91858168
 LYON,1974,4.688956465,45.94455361
 LYON,1975,4.688956465,45.94455361
 LYON,1976,4.688956465,45.94455361
 LYON,1977,4.678509337,45.95753958
 LYON,1978,4.688956465,45.94455361
 LYON,1979,4.709850719,45.91858168
 LYON,1980,4.709850719,45.91858168
 LYON,1981,4.709850719,45.91858168
 LYON,1982,4.124811603,46.64579578
 LYON,1983,4.093470221,46.68475367
 LYON,1984,3.602455249,47.29509408
 LYON,1985,3.602455249,47.29509408
 LYON,1986,3.602455249,47.29509408
 LYON,1987,3.602455249,47.29509408
 LYON,1988,3.602455249,47.29509408
 LYON,1989,3.602455249,47.29509408
 LYON,1990,3.602455249,47.29509408
 LYON,1991,3.602455249,47.29509408
 LYON,1992,3.602455249,47.29509408
 LYON,1993,3.602455249,47.29509408
 LYON,1994,3.602455249,47.29509408
 LYON,1995,3.602455249,47.29509408
 LYON,1996,3.602455249,47.29509408
 LYON,1997,3.644243757,47.24315021
 LYON,1998,3.602455249,47.29509408
 LYON,1999,3.644243757,47.24315021
 LYON,2000,3.644243757,47.24315021
 LYON,2001,3.550219613,47.36002391
 LYON,2002,3.550219613,47.36002391
 LYON,2003,3.550219613,47.36002391
 LYON,2004,3.539772486,47.37300987
 LYON,2005,3.529325359,47.38599584
 LYON,2006,3.529325359,47.38599584
 LYON,2007,3.550219613,47.36002391
 LYON,2008,3.571113868,47.33405197
 LYON,2009,3.560666741,47.34703794
 LYON,2010,3.571113868,47.33405197
 LYON,2011,3.571113868,47.33405197
 LYON,2012,3.560666741,47.34703794
 LYON,2013,3.560666741,47.34703794
 LYON,2014,3.560666741,47.34703794
 LYON,2015,3.571113868,47.33405197
 LYON,2016,3.571113868,47.33405197
 LYON,2017,3.571113868,47.33405197
 MARSEILLE,1958,6.101215509,41.97732907
 MARSEILLE,1959,5.965489841,42.22603838
 MARSEILLE,1960,5.93355439,42.28455822
 MARSEILLE,1961,5.973473704,42.21140842
 MARSEILLE,1962,5.781860997,42.56252745
 MARSEILLE,1963,5.781860997,42.56252745
 MARSEILLE,1964,5.781860997,42.56252745
 MARSEILLE,1965,5.781860997,42.56252745
 MARSEILLE,1966,5.781860997,42.56252745
 MARSEILLE,1967,5.773877134,42.57715741
 MARSEILLE,1968,5.702022369,42.70882704
 MARSEILLE,1969,5.542345114,43.00142623
 MARSEILLE,1970,5.542345114,43.00142623
 MARSEILLE,1971,5.486458074,43.10383595
 MARSEILLE,1972,5.486458074,43.10383595
 MARSEILLE,1973,5.494441937,43.08920599
 MARSEILLE,1974,5.494441937,43.08920599
 MARSEILLE,1975,5.5024258,43.07457603
 MARSEILLE,1976,5.494441937,43.08920599
 MARSEILLE,1977,5.494441937,43.08920599
 MARSEILLE,1978,5.486458074,43.10383595
 MARSEILLE,1979,5.526377388,43.03068615
 MARSEILLE,1980,5.542345114,43.00142623
 MARSEILLE,1981,5.550328977,42.98679627
 MARSEILLE,1982,5.007426307,43.98163351
 MARSEILLE,1983,4.983474719,44.02552339
 MARSEILLE,1984,4.664120207,44.61072177
 MARSEILLE,1985,4.58428158,44.75702136
 MARSEILLE,1986,4.58428158,44.75702136
 MARSEILLE,1987,4.58428158,44.75702136
 MARSEILLE,1988,4.58428158,44.75702136
 MARSEILLE,1989,4.58428158,44.75702136
 MARSEILLE,1990,4.58428158,44.75702136
 MARSEILLE,1991,4.58428158,44.75702136
 MARSEILLE,1992,4.58428158,44.75702136
 MARSEILLE,1993,4.592265442,44.7423914
 MARSEILLE,1994,4.416620461,45.06425051
 MARSEILLE,1995,4.448555912,45.00573067
 MARSEILLE,1996,4.448555912,45.00573067
 MARSEILLE,1997,4.464523638,44.97647075
 MARSEILLE,1998,4.472507501,44.96184079
 MARSEILLE,1999,4.424604324,45.04962055
 MARSEILLE,2000,4.408636598,45.07888047
 MARSEILLE,2001,3.785895301,46.2200173
 MARSEILLE,2002,3.785895301,46.2200173
 MARSEILLE,2003,3.785895301,46.2200173
 MARSEILLE,2004,3.785895301,46.2200173
 MARSEILLE,2005,3.785895301,46.2200173
 MARSEILLE,2006,3.785895301,46.2200173
 MARSEILLE,2007,3.80984689,46.17612742
 MARSEILLE,2008,3.801863027,46.19075738
 MARSEILLE,2009,3.801863027,46.19075738
 MARSEILLE,2010,3.80984689,46.17612742
 MARSEILLE,2011,3.793879164,46.20538734
 MARSEILLE,2012,3.825814615,46.14686751
 MARSEILLE,2013,3.825814615,46.14686751
 MARSEILLE,2014,3.825814615,46.14686751
 MARSEILLE,2015,3.825814615,46.14686751
 MARSEILLE,2016,3.825814615,46.14686751
 MARSEILLE,2017,3.825814615,46.14686751
 MONTPELLIER,1958,4.718567224,40.72514772
 MONTPELLIER,1959,4.718567224,40.72514772
 MONTPELLIER,1960,4.690577847,40.82115081
 MONTPELLIER,1961,4.406019184,41.79718231
 MONTPELLIER,1962,4.406019184,41.79718231
 MONTPELLIER,1963,4.406019184,41.79718231
 MONTPELLIER,1964,4.406019184,41.79718231
 MONTPELLIER,1965,4.429343665,41.71717973
 MONTPELLIER,1966,4.429343665,41.71717973
 MONTPELLIER,1967,4.420013873,41.74918076
 MONTPELLIER,1968,4.392024496,41.84518386
 MONTPELLIER,1969,4.30339147,42.14919367
 MONTPELLIER,1970,4.30339147,42.14919367
